"Record_ID","Functional_outcome","Validation_stage","Regenerative_endpoint"
"FS0542","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Stemness/proliferation/differentiation restoration"
"FS0552","Von Frey testing demonstrated improved OA pain threshold after p16 siRNA nanoparticle treatment.","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0553","Biomechanical testing demonstrated improved supraspinatus–humerus maximum load, stiffness and modulus.","Cell; Ex vivo; Small animal","Tendon/ligament regeneration"
"FS0554","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0559","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Wound healing/skin regeneration"
"FS0560","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Tendon/ligament regeneration"
"FS0563","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","General tissue-regeneration enabling evidence"
"FS0571","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","General tissue-regeneration enabling evidence"
"FS0580","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0595","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0598","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0602","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Hepatic repair/function"
"FS0624","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0628","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0630","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0637","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0642","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0644","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Organoid/chip","Stemness/proliferation/differentiation restoration"
"FS0649","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0651","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Tendon/ligament regeneration"
"FS0655","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0657","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0672","Grip-strength testing showed improved hindlimb function after SHED-exosome treatment.","Cell; Ex vivo; Small animal; Human-derived","Tendon/ligament regeneration"
"FS0675","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0678","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Bone regeneration/osteogenesis"
"FS0687","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0696","Hotplate testing demonstrated relief of OA-associated thermal pain after SKP@miR treatment.","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0701","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Bone regeneration/osteogenesis"
"FS0704","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0705","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Tendon/ligament regeneration"
"FS0709","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Tendon/ligament regeneration"
"FS0720","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Cartilage regeneration/chondroprotection"
"FS0726","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo","Stemness/proliferation/differentiation restoration"
"FS0729","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","No direct tissue-regeneration endpoint reported"
"FS0731","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","General tissue-regeneration enabling evidence"
"FS0738","Basso–Beattie–Bresnahan scoring demonstrated improved locomotor recovery after GM + MSC treatment.","Cell; Organoid/chip; Small animal; Human-derived","Neural regeneration/function"
"FS0761","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0765","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0770","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0776","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Ex vivo; Small animal","Stemness/proliferation/differentiation restoration"
"FS0783","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0788","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0795","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0796","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Stemness/proliferation/differentiation restoration"
"FS0797","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0809","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Cartilage regeneration/chondroprotection"
"FS0810","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0816","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0821","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0834","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0838","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","General tissue-regeneration enabling evidence"
"FS0842","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0843","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Intervertebral-disc regeneration"
"FS0866","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS0879","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Stemness/proliferation/differentiation restoration"
"FS0882","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0885","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0887","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0905","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0912","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0913","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0916","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Wound healing/skin regeneration"
"FS0927","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0928","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Cartilage regeneration/chondroprotection"
"FS0932","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0956","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell","Stemness/proliferation/differentiation restoration"
"FS0970","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS1020","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS1021","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo","Stemness/proliferation/differentiation restoration"
"FS1040","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS1052","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS1054","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Intervertebral-disc regeneration"
