"Node_ID","Node_type","Canonical_name","Synonyms","Description","Degree","Number_of_studies","Number_of_relation_types"
"COM000121","MaterialComposition","Phosphatidylserine-modified lipid nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000122","MaterialComposition","phospholipid/PEOz",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000123","MaterialComposition","photothermal hydrogel matrix",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000124","MaterialComposition","platelet-rich plasma",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000125","MaterialComposition","PLGA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",5,5,1
"COM000126","MaterialComposition","PLGA microspheres",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000127","MaterialComposition","PLGA microspheres containing miR-24 mimics",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000128","MaterialComposition","Poloxamer 407",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000129","MaterialComposition","poly(acrylic acid) (PAA)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000130","MaterialComposition","Polyacrylamide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000131","MaterialComposition","polydopamine coating",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000132","MaterialComposition","polylactide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000133","MaterialComposition","polyphenol-armored nanoparticle carrier",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000134","MaterialComposition","Polyurethane",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000135","MaterialComposition","polyvinyl alcohol",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000136","MaterialComposition","porcine liver-derived decellularized extracellular matrix (dECM)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000137","MaterialComposition","Quercetin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",3,3,1
"COM000138","MaterialComposition","Procyanidin C1",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000139","MaterialComposition","Prussian Blue nanozyme",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000140","MaterialComposition","PVA/Alg-PBA hydrogel with dynamic PBA-diol bonds",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000141","MaterialComposition","Quaternized chitosan hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000142","MaterialComposition","Quaternized chitosan (QCS)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000144","MaterialComposition","quercetin-primed senomorphic small extracellular vesicles (SmsEV)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000145","MaterialComposition","Recombinant human collagen XVII fragment",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000146","MaterialComposition","recombinant YAP1",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000149","MaterialComposition","resveratrol",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000150","MaterialComposition","saMAT2A-loaded lipid nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000151","MaterialComposition","Collagen–chondroitin sulfate",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000152","MaterialComposition","Schiff-base HA-ADH/HA-ALD hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000153","MaterialComposition","selectin-binding-peptide-engineered extracellular vesicles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000154","MaterialComposition","selenium nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000155","MaterialComposition","senolytic cargo",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000156","MaterialComposition","Zeolitic imidazolate framework-8 (ZIF-8)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000157","MaterialComposition","silk fibroin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000158","MaterialComposition","silk-fibroin peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000159","MaterialComposition","small extracellular vesicles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000160","MaterialComposition","RADA self-assembling peptide (Ac-(RADA)4-CONH2)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000161","MaterialComposition","SOX5 mRNA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000162","MaterialComposition","SOX9 mRNA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000163","MaterialComposition","SRT1720",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000164","MaterialComposition","stem-cell-homing hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000165","MaterialComposition","stem-cell organoids",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000166","MaterialComposition","strontium",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000167","MaterialComposition","Strontium silicate",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000168","MaterialComposition","supramolecular peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000169","MaterialComposition","tannic acid",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",4,4,1
"COM000170","MaterialComposition","Tanshinone IIA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000171","MaterialComposition","β-tricalcium phosphate (β-TCP)/MnTCP ceramic components",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000172","MaterialComposition","temperature-sensitive hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000173","MaterialComposition","Tetrahedral DNA nanocage",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000174","MaterialComposition","TGF-β3",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000175","MaterialComposition","Calcium silicide nanoparticles (CSN)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000176","MaterialComposition","TiO2",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000177","MaterialComposition","α-lipoic acid hydrogel (αLA-Gel)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000178","MaterialComposition","Titanium",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000179","MaterialComposition","Titanium implant",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000180","MaterialComposition","TPA-TCNQ-loaded nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000181","MaterialComposition","TPG",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000182","MaterialComposition","TUB1 peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000183","MaterialComposition","Zn@MOF nanozyme",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000184","MaterialComposition","ZSM-5",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000185","MaterialComposition","Poly(ethylene glycol) diacrylate (PEGDA)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"DES000001","DesignMode","Biomimetic decellularized-ECM hydrogel organoid with extracellular-vesicle and cell delivery",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000002","DesignMode","Biomimetic ECM/cell construct",,"A stable design classification describing how a material platform is engineered to operate.",7,7,1
"DES000003","DesignMode","Ceramic/bioceramic",,"A stable design classification describing how a material platform is engineered to operate.",2,2,1
"DES000004","DesignMode","Coating/surface",,"A stable design classification describing how a material platform is engineered to operate.",12,12,1
"DES000005","DesignMode","Fiber/membrane",,"A stable design classification describing how a material platform is engineered to operate.",8,8,1
"DES000006","DesignMode","Hydrogel",,"A stable design classification describing how a material platform is engineered to operate.",105,105,1
"DES000007","DesignMode","Implant/device",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000008","DesignMode","Ion-releasing silicate bioceramic",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000009","DesignMode","Liposome/micelle",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000010","DesignMode","Living cell-based bone-targeted mitochondrial-delivery biohybrid with MnO2 nanozyme protection",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000011","DesignMode","Microneedle",,"A stable design classification describing how a material platform is engineered to operate.",6,6,1
"DES000012","DesignMode","Nanoparticle/nanoplatform",,"A stable design classification describing how a material platform is engineered to operate.",36,36,1
"DES000013","DesignMode","Patch/dressing",,"A stable design classification describing how a material platform is engineered to operate.",4,4,1
"DES000014","DesignMode","ROS-cleavable multilayer drug-delivery hydrogel",,"A stable design classification describing how a material platform is engineered to operate.",1,1,1
"DES000015","DesignMode","Scaffold",,"A stable design classification describing how a material platform is engineered to operate.",36,36,1
"FAB000001","FabricationStrategy","3D printing/bioprinting",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",16,16,1
"FAB000002","FabricationStrategy","Biomaterial implantation as an in vivo bioreactor with BMP-2 loading",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000003","FabricationStrategy","Biomineralization",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",2,2,1
"FAB000004","FabricationStrategy","BMP-2 electrostatic adsorption",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000005","FabricationStrategy","Click-chemistry crosslinking",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000006","FabricationStrategy","Co-assembly of cargo with DSPE-TK-PEG2000 and DSPE-PEG2000 into nanomicelles",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000007","FabricationStrategy","Coordination synthesis of a tetranuclear manganese complex with the TPDP ligand",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000008","FabricationStrategy","Decellularization and ECM processing",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",9,9,1
"FAB000009","FabricationStrategy","droplet-microfluidic cell encapsulation",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000010","FabricationStrategy","DSPE-PEG2000-FA post-insertion",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000011","FabricationStrategy","Dynamic covalent crosslinking",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000012","FabricationStrategy","Electrospinning",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",7,7,1
"FAB000013","FabricationStrategy","Emulsion fabrication",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",6,6,1
"FAB000014","FabricationStrategy","Enzymatic crosslinking",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000015","FabricationStrategy","Extrusion",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",5,5,1
"FAB000016","FabricationStrategy","FDM 3D printing",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000017","FabricationStrategy","Freeze-drying/lyophilization",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",3,3,1
"FAB000018","FabricationStrategy","HA-ADH and HA-ALD synthesis",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000019","FabricationStrategy","Hydrothermal synthesis",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",7,7,1
"FAB000020","FabricationStrategy","incorporation into a PVA/Alg-PBA dynamically crosslinked hydrogel",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000021","FabricationStrategy","Mesoporous-silica loading followed by composite-hydrogel gelation",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000022","FabricationStrategy","Microfluidic fabrication",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",8,8,1
"FAB000023","FabricationStrategy","Electroporation loading of LINE1-targeting ASO into SBP-EVs",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000024","FabricationStrategy","One-pot synthesis",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",4,4,1
"FAB000025","FabricationStrategy","outer PLL/acrylamide/LAP photocuring at 405 nm",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000026","FabricationStrategy","PHCF-Gel preparation",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000027","FabricationStrategy","Photocrosslinking",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",9,9,1
"FAB000028","FabricationStrategy","Photocrosslinking and therapeutic-cargo loading",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000029","FabricationStrategy","Photocrosslinking of StG hydrogels with controlled surface elasticity",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000030","FabricationStrategy","polypyrrole functionalization",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000031","FabricationStrategy","Quercetin loading into a temperature-sensitive hydrogel at 4 °C",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000032","FabricationStrategy","RAFT polymerization",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000033","FabricationStrategy","RAFT polymerization of P(DMA-b-MPC)",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000034","FabricationStrategy","Schiff-base/hydrazone crosslinking",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",6,6,1
"FAB000035","FabricationStrategy","Self-assembly",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",17,17,1
"FAB000036","FabricationStrategy","serial extrusion",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000037","FabricationStrategy","Sol–gel synthesis",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000038","FabricationStrategy","Strontium-silicate incorporation and 3D printing",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000039","FabricationStrategy","Surface coating",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",28,28,1
"FAB000040","FabricationStrategy","Template molding/replication",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000041","FabricationStrategy","Thermosensitive-polymer synthesis, hydrogel gelation and extracellular-vesicle loading",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000042","FabricationStrategy","Thin-film hydration",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",6,6,1
"FAB000043","FabricationStrategy","TPA and PLL-Glu synthesis",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"FAB000044","FabricationStrategy","ZIF-8/CeO2/GOx cascade-nanozyme assembly and GelMA encapsulation",,"A manufacturing, processing, assembly, crosslinking, or surface-engineering method used to fabricate a material platform.",1,1,1
"MAT000001","MaterialPlatform","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",11,1,8
"MAT000002","MaterialPlatform","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",12,1,7
"MAT000003","MaterialPlatform","A-Lipo/PAHM lesion-localized hydrogel microspheres",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",4,1,4
"MAT000004","MaterialPlatform","A20-CRISPRa injectable microspheres",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000005","MaterialPlatform","AAV-loaded extracellular-vesicle biomimetic gene-delivery system",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,5
"MAT000006","MaterialPlatform","ABT-263-loaded asymmetric composite wound dressing",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,5
"MAT000007","MaterialPlatform","Active Magnesium Boride/Alginate Hydrogels",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000008","MaterialPlatform","Adhesive injectable NRF2-modulating hydrogel microspheres",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",10,1,7
"MAT000009","MaterialPlatform","ADSC/acellular-dermal-matrix tissue-engineered membrane",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",4,1,3
"MAT000010","MaterialPlatform","Alginate–strontium/metformin-hydrochloride hydrogel beads",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000011","MaterialPlatform","Aligned-topography soft hydrogel substrates",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",4,1,3
"MAT000012","MaterialPlatform","α-Arbutin-crosslinked chitosan/gelatin film",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",10,1,6
"MAT000013","MaterialPlatform","α-Klotho gene-activated scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,7
"MAT000014","MaterialPlatform","Antibody-functionalized copper-sulfate nanoparticles",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000015","MaterialPlatform","Antioxidant Proline Carbon Dot-Composited Poly(L-methionine) Hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",4,1,3
"MAT000016","MaterialPlatform","ASD all-in-one smart hydrogel dressing",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",16,1,8
"MAT000017","MaterialPlatform","Asp10SAC4A supramolecular senolytic nanoplatform",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000018","MaterialPlatform","Astaxanthin-loaded bimetallic-MOF hydrogel scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,4
"MAT000019","MaterialPlatform","Autophagy-enhancing injectable hydrogel microspheres",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000020","MaterialPlatform","Baghdadite Ceramics",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,6
"MAT000021","MaterialPlatform","BAI1-PSTB nanocomposite hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",12,1,6
"MAT000022","MaterialPlatform","Bamboo-inspired hierarchical bone-repair scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,5
"MAT000023","MaterialPlatform","BFV-loaded engineered periosteum on a 3D-printed scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000024","MaterialPlatform","BGSC-organoid (dCSEV hydrogel-based biomimetic gradient-structured cartilage organoid)",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000025","MaterialPlatform","Bioelectrically reprogramming hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,2
"MAT000026","MaterialPlatform","Bioinspired Microgel Assembly of Liver-Derived Decellularized Extracellular Matrix",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",9,1,5
"MAT000027","MaterialPlatform","Biomimetic hydrogel delivers engineered exosomes",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000028","MaterialPlatform","BMP-2-loaded in vivo bioreactor scaffold system",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,2
"MAT000029","MaterialPlatform","BMSC-laden salidroside–collagen hybrid scaffold (BMSCs-SCOL)",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,5
"MAT000030","MaterialPlatform","Bone-targeted senolytic delivery system",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000031","MaterialPlatform","CaH2-MN hierarchical calcium-hydride microneedle platform",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000032","MaterialPlatform","Calcium-silicate ion-releasing biomaterial",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000033","MaterialPlatform","CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,6
"MAT000034","MaterialPlatform","CaSi2 nanoparticle-coated mesoporous bioactive-glass scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000035","MaterialPlatform","CCM@CS-HG hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",14,1,10
"MAT000036","MaterialPlatform","Cell-deposited extracellular matrix",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000037","MaterialPlatform","CeNP enzyme-mimic nanofiber-bundle scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,2
"MAT000038","MaterialPlatform","CeO2 nanozymes",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000039","MaterialPlatform","CeO2@Tau-loaded GelMA microneedle patch",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",2,1,1
"MAT000040","MaterialPlatform","Cerium-oxide-nanoparticle-carrying hUCMSCs",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000041","MaterialPlatform","Cerium oxide nanoparticles",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,2
"MAT000042","MaterialPlatform","Chemically modified culture surfaces",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",2,1,2
"MAT000043","MaterialPlatform","Chitosan-coated culture surfaces",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,2,4
"MAT000044","MaterialPlatform","Chondrocyte-targeting exosome sustained-release platform",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,3
"MAT000045","MaterialPlatform","CK2.1/Lac-Phe bilayer osteochondral scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,3
"MAT000046","MaterialPlatform","CM-MTBM (CXCR4-engineered macrophages loaded with nanozyme-functionalized mitochondria)",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000047","MaterialPlatform","Collagen-coated polyacrylamide hydrogels",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,5
"MAT000048","MaterialPlatform","Cordycepin-Loaded Dental Pulp Stem Cell-Derived Exosomes",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000049","MaterialPlatform","CTB nanoparticle-engineered MSC construct",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000050","MaterialPlatform","Cu–Fe3O4 nanozyme",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,4
"MAT000051","MaterialPlatform","CUR@MSNs nanoplatform",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",4,1,4
"MAT000052","MaterialPlatform","Curcumin-loaded liposomes",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",3,1,3
"MAT000053","MaterialPlatform","Curcumin-loaded mesoporous-silica/PCL-gelatin electrospun nanofiber scaffold",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000054","MaterialPlatform","Curcumin-loaded milk-sEV/platelet-membrane hybrid vesicles",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,4
"MAT000055","MaterialPlatform","Curcumin/ZSM-5 electrospun nanofibers",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,6
"MAT000056","MaterialPlatform","D-EV-loaded thermosensitive injectable hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",8,1,6
"MAT000057","MaterialPlatform","DASEA Regenbio bioreactor–microcarrier culture system",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,3
"MAT000058","MaterialPlatform","DPMSC-loaded DAT–ALG hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,4
"MAT000059","MaterialPlatform","DS@Lip-FA (folate-modified denosumab-loaded liposomes)",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",6,1,3
"MAT000060","MaterialPlatform","Dual-drug-encapsulated liposomal nanoparticles",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",5,1,3
"MAT000061","MaterialPlatform","Dual-engineered chondrocyte-targeted extracellular vesicles",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",7,1,4
"MAT000062","MaterialPlatform","EGCG@MAB hydrogel",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",14,1,8
"MAT000063","MaterialPlatform","Electrospun scaffold–bioreactor system",,"An engineered material, formulation, carrier, or biomaterial system investigated in a SenescenceBioKG study.",10,1,6
